# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6034
  1 0.5 5.75904 0.00249958
  2 1.5 5.69349 0.00247113
  3 2.5 5.63942 0.00244767
  4 3.5 5.58016 0.00242194
  5 4.5 5.48641 0.00238126
  6 5.5 5.38976 0.0023393
  7 6.5 5.26091 0.00228338
  8 7.5 5.12461 0.00222422
  9 8.5 4.98811 0.00216498
  10 9.5 4.82881 0.00209584
  11 10.5 4.66563 0.00202501
  12 11.5 4.46605 0.00193839
  13 12.5 4.23313 0.0018373
  14 13.5 3.96891 0.00172262
  15 14.5 3.69179 0.00160234
  16 15.5 3.39012 0.00147141
  17 16.5 3.07778 0.00133584
  18 17.5 2.77096 0.00120267
  19 18.5 2.43259 0.00105581
  20 19.5 2.12279 0.000921348
  21 20.5 1.81372 0.000787207
  22 21.5 1.52597 0.000662313
  23 22.5 1.25762 0.00054584
  24 23.5 1.02504 0.000444896
  25 24.5 0.824416 0.000357819
  26 25.5 0.650266 0.000282234
  27 26.5 0.497188 0.000215793
  28 27.5 0.377394 0.000163799
  29 28.5 0.284334 0.000123409
  30 29.5 0.21525 9.34245e-05
  31 30.5 0.162352 7.04653e-05
  32 31.5 0.124006 5.3822e-05
  33 32.5 0.092322 4.00703e-05
  34 33.5 0.071564 3.10608e-05
  35 34.5 0.057152 2.48056e-05
  36 35.5 0.048868 2.12101e-05
  37 36.5 0.042362 1.83863e-05
  38 37.5 0.037014 1.60651e-05
  39 38.5 0.033492 1.45365e-05
  40 39.5 0.031986 1.38828e-05
  41 40.5 0.030356 1.31753e-05
  42 41.5 0.029582 1.28394e-05
  43 42.5 0.029268 1.27031e-05
  44 43.5 0.028406 1.2329e-05
  45 44.5 0.027002 1.17196e-05
  46 45.5 0.027208 1.1809e-05
  47 46.5 0.026476 1.14913e-05
  48 47.5 0.027162 1.17891e-05
  49 48.5 0.0276 1.19792e-05
  50 49.5 0.029438 1.27769e-05
  51 50.5 0.028632 1.24271e-05
  52 51.5 0.02939 1.27561e-05
  53 52.5 0.028598 1.24123e-05
  54 53.5 0.028778 1.24905e-05
  55 54.5 0.029358 1.27422e-05
  56 55.5 0.027662 1.20061e-05
  57 56.5 0.028936 1.2559e-05
  58 57.5 0.028856 1.25243e-05
  59 58.5 0.029554 1.28273e-05
  60 59.5 0.031132 1.35122e-05
  61 60.5 0.030212 1.31128e-05
  62 61.5 0.029442 1.27786e-05
  63 62.5 0.02961 1.28516e-05
  64 63.5 0.028446 1.23464e-05
  65 64.5 0.028244 1.22587e-05
  66 65.5 0.026954 1.16988e-05
  67 66.5 0.026926 1.16866e-05
  68 67.5 0.026496 1.15e-05
  69 68.5 0.026238 1.1388e-05
  70 69.5 0.027014 1.17248e-05
  71 70.5 0.027898 1.21085e-05
  72 71.5 0.027588 1.1974e-05
  73 72.5 0.026564 1.15295e-05
  74 73.5 0.02547 1.10547e-05
  75 74.5 0.025972 1.12726e-05
  76 75.5 0.026958 1.17005e-05
  77 76.5 0.026298 1.14141e-05
  78 77.5 0.026844 1.1651e-05
  79 78.5 0.027464 1.19201e-05
  80 79.5 0.026756 1.16128e-05
  81 80.5 0.025928 1.12535e-05
  82 81.5 0.026522 1.15113e-05
  83 82.5 0.026322 1.14245e-05
  84 83.5 0.026542 1.152e-05
  85 84.5 0.02726 1.18316e-05
  86 85.5 0.026202 1.13724e-05
  87 86.5 0.027138 1.17786e-05
  88 87.5 0.026108 1.13316e-05
  89 88.5 0.02707 1.17491e-05
  90 89.5 0.026124 1.13385e-05
  91 90.5 0.026486 1.14957e-05
  92 91.5 0.026776 1.16215e-05
  93 92.5 0.02709 1.17578e-05
  94 93.5 0.02745 1.19141e-05
  95 94.5 0.026968 1.17049e-05
  96 95.5 0.027398 1.18915e-05
  97 96.5 0.027052 1.17413e-05
  98 97.5 0.027254 1.1829e-05
  99 98.5 0.027108 1.17656e-05
  100 99.5 0.026556 1.1526e-05
  101 100.5 0.02562 1.11198e-05
  102 101.5 0.0264 1.14583e-05
  103 102.5 0.026616 1.15521e-05
  104 103.5 0.026554 1.15252e-05
  105 104.5 0.025622 1.11207e-05
  106 105.5 0.026604 1.15469e-05
  107 106.5 0.025878 1.12318e-05
  108 107.5 0.027006 1.17214e-05
  109 108.5 0.025098 1.08932e-05
  110 109.5 0.025552 1.10903e-05
  111 110.5 0.026294 1.14123e-05
  112 111.5 0.02712 1.17708e-05
  113 112.5 0.0256 1.11111e-05
  114 113.5 0.025116 1.0901e-05
  115 114.5 0.025932 1.12552e-05
  116 115.5 0.025494 1.10651e-05
  117 116.5 0.02678 1.16233e-05
  118 117.5 0.026324 1.14253e-05
  119 118.5 0.025754 1.1178e-05
  120 119.5 0.025782 1.11901e-05
  121 120.5 0.02572 1.11632e-05
  122 121.5 0.025694 1.11519e-05
  123 122.5 0.02693 1.16884e-05
  124 123.5 0.027878 1.20998e-05
  125 124.5 0.027574 1.19679e-05
  126 125.5 0.026974 1.17075e-05
  127 126.5 0.02676 1.16146e-05
  128 127.5 0.026666 1.15738e-05
  129 128.5 0.027974 1.21415e-05
  130 129.5 0.027284 1.1842e-05
  131 130.5 0.025316 1.09878e-05
  132 131.5 0.026336 1.14306e-05
  133 132.5 0.027192 1.18021e-05
  134 133.5 0.02758 1.19705e-05
  135 134.5 0.02809 1.21918e-05
  136 135.5 0.0278 1.2066e-05
  137 136.5 0.027274 1.18377e-05
  138 137.5 0.026776 1.16215e-05
  139 138.5 0.026614 1.15512e-05
  140 139.5 0.027526 1.1947e-05
  141 140.5 0.027772 1.20538e-05
