# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11201
  1 0.5 25.2498 0.0109591 1531.26 1565.07 -2362.07
  2 1.5 24.1734 0.0104919 1647.51 1528.49 -2189.41
  3 2.5 22.9526 0.00996208 1756.09 1640.59 -1817.8
  4 3.5 21.483 0.00932422 1503.47 1491.69 -1585.19
  5 4.5 19.9279 0.00864925 1377.52 1331.32 -1378.45
  6 5.5 18.3232 0.00795277 1194.4 1149.38 -1203.99
  7 6.5 16.6327 0.00721905 769.25 837.895 -660.391
  8 7.5 14.872 0.00645486 44.6391 229.203 -535.694
  9 8.5 13.1512 0.00570799 -763.956 -615.767 -501.126
  10 9.5 11.5717 0.00502244 -1670.61 -1567.94 -664.003
  11 10.5 10.0277 0.00435231 -2592.82 -2432.84 -970.51
  12 11.5 8.68451 0.00376932 -3725.53 -3522.25 -1308.94
  13 12.5 7.5127 0.00326072 -4931.77 -4913.77 -1906.28
  14 13.5 6.49762 0.00282015 -6433.98 -6383.34 -2954.19
  15 14.5 5.6073 0.00243372 -7980.88 -7955.51 -4181.04
  16 15.5 4.94556 0.00214651 -9559.07 -9459.47 -5473.75
  17 16.5 4.40604 0.00191234 -10902.2 -10973.4 -6811.83
  18 17.5 3.97827 0.00172668 -12105.8 -12311.5 -8257.95
  19 18.5 3.60276 0.0015637 -13006.8 -13416.1 -9853.99
  20 19.5 3.33776 0.00144868 -14195.9 -14367.9 -11243.5
  21 20.5 3.13545 0.00136087 -15062.1 -14917.1 -12385.3
  22 21.5 2.96332 0.00128616 -15623.7 -15452.7 -13441.3
  23 22.5 2.84474 0.0012347 -16022.2 -15864.6 -14549.7
  24 23.5 2.77161 0.00120295 -15891 -16229.2 -15077.3
  25 24.5 2.72044 0.00118075 -16454.1 -16475.5 -15672.5
  26 25.5 2.68546 0.00116557 -16564.2 -16475.8 -15815.5
  27 26.5 2.63878 0.0011453 -16940.6 -16613.6 -16298.4
  28 27.5 2.60886 0.00113232 -17078.2 -16826.3 -16648.1
  29 28.5 2.59002 0.00112414 -17249.9 -16697.4 -16758.2
  30 29.5 2.58336 0.00112125 -17469.9 -16942.7 -16831.4
  31 30.5 2.55047 0.00110698 -17412.7 -17098.6 -17350.5
  32 31.5 2.56158 0.0011118 -17397.6 -17001.2 -17060.9
  33 32.5 2.55975 0.001111 -17409.1 -17368.4 -17173.4
  34 33.5 2.55592 0.00110934 -17378 -17053.4 -17195.4
  35 34.5 2.53065 0.00109837 -17253.5 -17294.4 -17330.6
  36 35.5 2.5293 0.00109779 -17486.6 -17277.4 -17425.2
  37 36.5 2.5355 0.00110048 -17438.1 -17443.4 -17339.1
  38 37.5 2.54078 0.00110277 -17259.9 -17226.2 -17376.2
  39 38.5 2.55718 0.00110989 -17173.1 -17103.8 -17220.7
  40 39.5 2.54646 0.00110524 -17293.2 -17275.5 -17368
  41 40.5 2.5482 0.00110599 -17260 -17145.9 -17283.7
  42 41.5 2.5684 0.00111476 -17378.2 -17187.6 -17132.2
  43 42.5 2.55454 0.00110874 -17439 -17312.6 -17209.8
  44 43.5 2.55121 0.0011073 -17548.9 -17157.4 -17352.2
  45 44.5 2.57158 0.00111614 -17273.4 -17063.9 -17233.9
  46 45.5 2.5662 0.0011138 -16953.8 -16932.6 -17082.8
  47 46.5 2.58292 0.00112106 -17101.9 -16610.7 -17151.5
  48 47.5 2.58446 0.00112173 -16985.9 -16935.7 -17056.2
  49 48.5 2.59249 0.00112521 -17176.7 -16972.7 -16956
  50 49.5 2.57394 0.00111716 -17392.7 -17016.8 -17255
  51 50.5 2.54834 0.00110605 -17045.1 -16614.2 -17264.3
  52 51.5 2.57472 0.0011175 -17302.2 -16936.7 -17132.2
  53 52.5 2.5847 0.00112183 -17229.4 -16843.3 -17110.8
  54 53.5 2.5651 0.00111332 -17515.5 -17157.4 -17214.4
  55 54.5 2.55934 0.00111082 -17652 -17281.4 -17239.9
  56 55.5 2.56046 0.00111131 -17277.4 -17089.6 -17221.6
  57 56.5 2.58076 0.00112012 -17321.4 -16789.8 -17068.2
  58 57.5 2.56877 0.00111492 -17045.4 -16659.9 -17203.8
  59 58.5 2.56762 0.00111442 -16936 -17072.4 -17201.7
  60 59.5 2.59316 0.0011255 -17180.5 -17322.7 -17084.4
  61 60.5 2.58563 0.00112224 -17202.6 -17210 -16970.7
  62 61.5 2.55096 0.00110719 -17281.3 -17467.7 -17345
  63 62.5 2.56787 0.00111453 -17611 -17600.8 -17297.3
  64 63.5 2.55802 0.00111025 -17272.6 -17325.6 -17145.8
  65 64.5 2.55118 0.00110728 -17161 -17244.7 -17360
  66 65.5 2.57137 0.00111605 -17235.1 -17312.8 -17050.1
  67 66.5 2.58266 0.00112094 -17492.7 -17145.2 -17085.5
  68 67.5 2.57146 0.00111608 -17722.5 -17121.8 -17260
  69 68.5 2.57253 0.00111655 -17334.6 -17163 -17099.3
  70 69.5 2.5647 0.00111315 -17234.5 -17277 -17234.8
  71 70.5 2.56353 0.00111264 -17268.8 -17502 -17290.4
  72 71.5 2.56874 0.0011149 -17380.6 -17322.8 -17111.9
  73 72.5 2.55921 0.00111077 -17269.7 -17418.2 -17307.7
  74 73.5 2.52971 0.00109797 -17245 -17303.4 -17439.6
  75 74.5 2.52164 0.00109446 -17022.9 -17609.6 -17510.5
  76 75.5 2.52755 0.00109703 -17361 -17626.4 -17519.8
  77 76.5 2.50249 0.00108615 -17193.7 -17829.9 -17505.1
  78 77.5 2.54147 0.00110307 -17412.9 -17867.4 -17274
  79 78.5 2.50901 0.00108898 -17301.8 -17362.2 -17494.1
  80 79.5 2.51062 0.00108968 -17201.5 -17417.6 -17683.6
  81 80.5 2.52195 0.0010946 -17100.5 -17398.1 -17545.3
  82 81.5 2.53082 0.00109844 -17336.6 -17345.9 -17455.1
  83 82.5 2.50981 0.00108933 -17330.1 -17501.5 -17568.5
  84 83.5 2.52077 0.00109408 -16974.5 -17230.3 -17425.9
  85 84.5 2.52474 0.00109581 -17202.5 -17678.9 -17636.9
  86 85.5 2.54409 0.0011042 -17181.5 -17729.4 -17280.2
  87 86.5 2.55157 0.00110745 -17423.4 -17526.7 -17242.8
  88 87.5 2.53898 0.00110199 -17348.1 -17375 -17323.8
  89 88.5 2.52091 0.00109415 -17563.9 -17157.1 -17599.9
  90 89.5 2.53513 0.00110032 -17786.2 -17369.4 -17345
  91 90.5 2.53202 0.00109897 -17843.7 -17069.6 -17444.9
  92 91.5 2.51913 0.00109337 -17515.4 -17210.5 -17658.3
  93 92.5 2.54443 0.00110435 -17507.8 -17069.3 -17209.7
  94 93.5 2.54861 0.00110617 -17150.3 -17353.6 -17241.7
  95 94.5 2.53843 0.00110175 -16866.4 -17100.7 -17488.1
  96 95.5 2.52868 0.00109752 -17145.7 -17356.2 -17468.4
  97 96.5 2.53678 0.00110103 -17471.9 -17184.5 -17333.8
  98 97.5 2.53979 0.00110234 -17398 -17042.4 -17390.5
  99 98.5 2.54452 0.00110439 -17175.6 -16830.5 -17288.5
  100 99.5 2.52999 0.00109809 -17296.3 -17435.4 -17441.4
  101 100.5 2.54887 0.00110628 -17414.4 -17499.9 -17345.8
  102 101.5 2.55183 0.00110757 -17495 -17318.3 -17237.4
  103 102.5 2.55409 0.00110855 -17285.2 -17266 -17286.9
  104 103.5 2.54037 0.00110259 -17129.4 -17382.6 -17400.4
  105 104.5 2.54407 0.0011042 -17114.8 -17765.8 -17345.1
  106 105.5 2.5448 0.00110451 -16838.1 -17090.4 -17302.2
  107 106.5 2.55371 0.00110838 -17125.3 -17149.2 -17229.9
  108 107.5 2.54371 0.00110404 -17004.1 -17061.8 -17419
  109 108.5 2.53437 0.00109999 -17191.6 -17159 -17488.8
  110 109.5 2.53058 0.00109834 -16994 -17007.2 -17454.1
  111 110.5 2.55422 0.0011086 -17057.7 -17362.5 -17256.1
  112 111.5 2.5518 0.00110755 -17007.8 -17379.1 -17274.9
  113 112.5 2.56117 0.00111162 -17388 -17229.2 -17160.1
  114 113.5 2.56219 0.00111206 -17292.1 -16946.8 -17077.8
  115 114.5 2.57788 0.00111887 -17156.1 -17074.4 -17083.9
  116 115.5 2.56342 0.0011126 -17304 -16832.6 -17319.9
  117 116.5 2.56366 0.0011127 -16940.2 -17071.6 -17230.3
  118 117.5 2.55986 0.00111105 -16918.2 -17254.8 -17323.3
  119 118.5 2.56971 0.00111533 -16852.3 -17118 -17141.6
  120 119.5 2.55692 0.00110977 -17030.5 -17352.7 -17220.1
  121 120.5 2.54818 0.00110598 -16989.8 -17213.6 -17279.2
  122 121.5 2.54587 0.00110498 -16945.4 -17268.4 -17380.7
  123 122.5 2.56589 0.00111367 -17106.2 -17260.7 -17185.7
  124 123.5 2.5633 0.00111254 -17016.1 -17323.2 -17159.5
  125 124.5 2.55668 0.00110967 -16982.4 -17157.6 -17270
  126 125.5 2.59258 0.00112525 -16884.2 -17067.4 -17039.4
  127 126.5 2.58391 0.00112149 -16624.7 -17162.8 -17015.1
  128 127.5 2.57921 0.00111945 -16930.9 -17201.9 -17097.3
  129 128.5 2.5871 0.00112287 -16720.2 -17060.7 -17065.3
  130 129.5 2.59072 0.00112444 -16835.3 -17295.8 -17094.2
  131 130.5 2.59506 0.00112633 -16672.9 -17066.5 -17040.4
  132 131.5 2.6101 0.00113285 -16914.6 -16878.7 -16864.7
  133 132.5 2.59264 0.00112528 -16965.7 -17010.8 -16967.8
  134 133.5 2.60417 0.00113028 -16686.1 -16873.4 -16861.9
  135 134.5 2.59122 0.00112466 -16786 -17216.7 -17111.1
  136 135.5 2.60258 0.00112959 -16968.8 -17220.9 -17023.5
  137 136.5 2.5941 0.00112591 -16979.1 -17141.7 -17035.1
  138 137.5 2.58199 0.00112066 -16915.9 -17080.1 -17000.3
  139 138.5 2.58221 0.00112075 -16983.7 -17490.6 -17029.1
  140 139.5 2.56321 0.0011125 -17438.5 -17266 -17227.1
  141 140.5 2.56809 0.00111462 -17562.1 -17109.2 -17067.4
  142 141.5 2.56228 0.0011121 -17507.8 -17279.3 -17209.9
  143 142.5 2.56552 0.00111351 -17334.9 -17219.1 -17190.1
  144 143.5 2.5719 0.00111627 -17286.7 -17340.1 -16914.8
  145 144.5 2.58755 0.00112307 -17222.4 -16938.7 -16877.8
  146 145.5 2.59018 0.00112421 -17353.3 -17115.5 -16893.8
  147 146.5 2.58249 0.00112087 -17316 -17021.8 -16748.4
  148 147.5 2.61887 0.00113666 -17281.8 -16807.3 -16366.2
  149 148.5 2.61914 0.00113678 -17250.5 -16919 -16559.3
  150 149.5 2.65838 0.00115381 -16809.4 -16853.5 -16071.9
  151 150.5 2.69569 0.00117 -16755.4 -16274.2 -15648.1
  152 151.5 2.76482 0.00120001 -16582.8 -16211.2 -15116
  153 152.5 2.86766 0.00124465 -16265 -15777.3 -14111.3
  154 153.5 2.97246 0.00129013 -15817.3 -15413.6 -13566.8
  155 154.5 3.10153 0.00134615 -15065.2 -14954.9 -12469.2
  156 155.5 3.32374 0.00144259 -14071.2 -14284 -11049
  157 156.5 3.60378 0.00156414 -13342.2 -13319.5 -9683.46
  158 157.5 3.96882 0.00172258 -11902.1 -12107.2 -8073.48
  159 158.5 4.42736 0.0019216 -10697.1 -10807 -6727.54
  160 159.5 5.0529 0.0021931 -9431.56 -9241.04 -5163.14
  161 160.5 5.84057 0.00253497 -7745.9 -7759.52 -3562.86
  162 161.5 6.76641 0.00293681 -6405.51 -6201.92 -2413.8
  163 162.5 7.89347 0.00342599 -5033.94 -4954 -1555.16
  164 163.5 9.21387 0.00399908 -3623.91 -3403.99 -848.475
  165 164.5 10.6841 0.0046372 -2230.92 -2428.61 -584.948
  166 165.5 12.2721 0.00532644 -998.543 -991.093 -347.504
  167 166.5 13.9851 0.00606991 -33.5219 -80.6475 -413.991
  168 167.5 15.7212 0.00682342 397.099 570.348 -715.543
  169 168.5 17.5859 0.00763276 949.288 1158.63 -767.082
  170 169.5 19.2831 0.0083694 1438.78 1395.6 -1003.84
  171 170.5 20.9182 0.00907907 1602.25 1809.94 -1507.85
  172 171.5 22.4259 0.00973348 1630.15 1765.96 -1822.96
  173 172.5 23.7519 0.010309 1599.75 1532.58 -2162.52
  174 173.5 24.911 0.0108121 1440.18 1628.86 -2262.52
  175 174.5 25.9524 0.0112641 1389.26 1454.34 -2380.73
  176 175.5 26.7873 0.0116264 944.546 1128.21 -2686.87
  177 176.5 27.4629 0.0119197 663.677 717.745 -2710.18
  178 177.5 28.1031 0.0121975 512.615 606.275 -2533.25
  179 178.5 28.6206 0.0124222 339.817 256.873 -2493.05
  180 179.5 28.9632 0.0125708 -124.174 -8.01686 -2589.37
  181 180.5 29.2447 0.012693 -142.92 -178.031 -2299.34
  182 181.5 29.6219 0.0128567 -477.996 -611.837 -2531.74
  183 182.5 29.8454 0.0129537 -664.784 -581.449 -2157.28
  184 183.5 30.002 0.0130217 -853.31 -871.374 -2121.84
  185 184.5 30.2495 0.0131291 -910.404 -879.878 -1945.36
  186 185.5 30.3555 0.0131751 -1042.36 -1035.91 -1897.45
  187 186.5 30.451 0.0132166 -1133.75 -933.694 -1777.44
  188 187.5 30.6557 0.0133054 -1096.92 -1101.71 -1729.93
  189 188.5 30.6966 0.0133232 -1294.48 -1227.79 -1787.51
  190 189.5 30.8241 0.0133785 -1212.85 -1260.78 -1570.76
  191 190.5 30.8784 0.0134021 -1081.09 -1011.23 -1475.7
  192 191.5 31.0371 0.013471 -1186.23 -1222.19 -1633.3
  193 192.5 31.0226 0.0134647 -1066.08 -1102.54 -1404.56
  194 193.5 31.151 0.0135204 -1506.9 -1477.38 -1337.16
  195 194.5 31.3105 0.0135896 -1486.71 -1488.68 -1430.79
  196 195.5 31.2799 0.0135763 -1619.72 -1850.47 -1402.44
  197 196.5 31.3182 0.013593 -1526.09 -1642.39 -1386.73
  198 197.5 31.5194 0.0136803 -1673.16 -1616.58 -1375.49
  199 198.5 31.5538 0.0136952 -1407.93 -1286.08 -1105.8
  200 199.5 31.5713 0.0137028 -1496.58 -1344.2 -1187.84
  201 200.5 31.613 0.0137209 -1603.1 -1334.38 -1312.34
  202 201.5 31.8934 0.0138426 -1520.41 -1612.87 -1271.97
  203 202.5 31.9193 0.0138539 -1584.52 -1496.18 -1088.74
  204 203.5 32.0029 0.0138901 -1574.23 -1659.71 -1111.32
  205 204.5 32.184 0.0139687 -1522.24 -1678.83 -1122.12
  206 205.5 32.3048 0.0140212 -1728.19 -1713.71 -1017.18
  207 206.5 32.3747 0.0140515 -1546.7 -1685.84 -1169.67
  208 207.5 32.5322 0.0141199 -1901.41 -1625.94 -1145.56
  209 208.5 32.7834 0.0142289 -1594.68 -1560.46 -1102.85
  210 209.5 32.8346 0.0142511 -1373.42 -1357.06 -1039.59
  211 210.5 33.0162 0.01433 -1391.41 -1462.61 -1028.96
  212 211.5 33.1847 0.0144031 -1377.99 -1385.43 -1096.61
  213 212.5 33.367 0.0144822 -1380.39 -1469.5 -1150.3
  214 213.5 33.5316 0.0145536 -1374.49 -1469.64 -1074.13
  215 214.5 33.7133 0.0146325 -1185.81 -1219.1 -1324.49
  216 215.5 33.8635 0.0146977 -939.767 -1140.96 -1145.37
  217 216.5 34.0561 0.0147813 -1034.92 -1078.74 -1232.35
  218 217.5 34.2571 0.0148685 -967.032 -742.644 -1162.15
  219 218.5 34.4269 0.0149422 -975.994 -920.698 -1276.15
  220 219.5 34.5842 0.0150105 -1038.89 -724.503 -1217.81
  221 220.5 34.7843 0.0150973 -1037.77 -803.934 -1468.49
  222 221.5 34.9124 0.015153 -723.462 -858.931 -1324.25
  223 222.5 35.0439 0.01521 -834.491 -764.419 -1227.74
  224 223.5 35.2646 0.0153058 -901.991 -816.77 -1545.9
  225 224.5 35.359 0.0153468 -721.341 -742.747 -1589.2
  226 225.5 35.4475 0.0153852 -733.395 -669.964 -1251.1
