# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6156.999999999997
  1 0.5 0.139594 6.05877e-05
  2 1.5 0.142378 6.1796e-05
  3 2.5 0.14858 6.44878e-05
  4 3.5 0.152628 6.62448e-05
  5 4.5 0.148198 6.4322e-05
  6 5.5 0.145152 6.3e-05
  7 6.5 0.147078 6.38359e-05
  8 7.5 0.14805 6.42578e-05
  9 8.5 0.148112 6.42847e-05
  10 9.5 0.153656 6.6691e-05
  11 10.5 0.155946 6.76849e-05
  12 11.5 0.1581 6.86198e-05
  13 12.5 0.160274 6.95634e-05
  14 13.5 0.160554 6.96849e-05
  15 14.5 0.16627 7.21658e-05
  16 15.5 0.168362 7.30738e-05
  17 16.5 0.170024 7.37951e-05
  18 17.5 0.175588 7.62101e-05
  19 18.5 0.177154 7.68898e-05
  20 19.5 0.178274 7.73759e-05
  21 20.5 0.174122 7.55738e-05
  22 21.5 0.167674 7.27752e-05
  23 22.5 0.161154 6.99453e-05
  24 23.5 0.151882 6.5921e-05
  25 24.5 0.143098 6.21085e-05
  26 25.5 0.12878 5.58941e-05
  27 26.5 0.11835 5.13672e-05
  28 27.5 0.107394 4.6612e-05
  29 28.5 0.094966 4.12179e-05
  30 29.5 0.086476 3.7533e-05
  31 30.5 0.079842 3.46536e-05
  32 31.5 0.073492 3.18976e-05
  33 32.5 0.06795 2.94922e-05
  34 33.5 0.062032 2.69236e-05
  35 34.5 0.058786 2.55148e-05
  36 35.5 0.054642 2.37161e-05
  37 36.5 0.053334 2.31484e-05
  38 37.5 0.051502 2.23533e-05
  39 38.5 0.050844 2.20677e-05
  40 39.5 0.051314 2.22717e-05
  41 40.5 0.05034 2.1849e-05
  42 41.5 0.048688 2.11319e-05
  43 42.5 0.048438 2.10234e-05
  44 43.5 0.047744 2.07222e-05
  45 44.5 0.046692 2.02656e-05
  46 45.5 0.048128 2.08889e-05
  47 46.5 0.046566 2.02109e-05
  48 47.5 0.046832 2.03264e-05
  49 48.5 0.046874 2.03446e-05
  50 49.5 0.046826 2.03238e-05
  51 50.5 0.047004 2.0401e-05
  52 51.5 0.04785 2.07682e-05
  53 52.5 0.04872 2.11458e-05
  54 53.5 0.046936 2.03715e-05
  55 54.5 0.04726 2.05122e-05
  56 55.5 0.04813 2.08898e-05
  57 56.5 0.048958 2.12491e-05
  58 57.5 0.048812 2.11858e-05
  59 58.5 0.049946 2.1678e-05
  60 59.5 0.05055 2.19401e-05
  61 60.5 0.050432 2.18889e-05
  62 61.5 0.04775 2.07248e-05
  63 62.5 0.049326 2.14089e-05
  64 63.5 0.049718 2.1579e-05
  65 64.5 0.04844 2.10243e-05
  66 65.5 0.049114 2.13168e-05
  67 66.5 0.04979 2.16102e-05
  68 67.5 0.048702 2.1138e-05
  69 68.5 0.048794 2.1178e-05
  70 69.5 0.0479 2.07899e-05
  71 70.5 0.047984 2.08264e-05
  72 71.5 0.04817 2.09071e-05
  73 72.5 0.049532 2.14983e-05
  74 73.5 0.049724 2.15816e-05
  75 74.5 0.050512 2.19236e-05
  76 75.5 0.050052 2.1724e-05
  77 76.5 0.05001 2.17057e-05
  78 77.5 0.049532 2.14983e-05
  79 78.5 0.050192 2.17847e-05
  80 79.5 0.048854 2.1204e-05
  81 80.5 0.048026 2.08446e-05
  82 81.5 0.047706 2.07057e-05
  83 82.5 0.048464 2.10347e-05
  84 83.5 0.04802 2.0842e-05
  85 84.5 0.048744 2.11562e-05
  86 85.5 0.046858 2.03377e-05
  87 86.5 0.046314 2.01016e-05
  88 87.5 0.046988 2.03941e-05
  89 88.5 0.046402 2.01398e-05
  90 89.5 0.045998 1.99644e-05
  91 90.5 0.045466 1.97335e-05
  92 91.5 0.045526 1.97595e-05
